date,original_lines,original_words,original_tokens_est,compressed_lines,compressed_words,compressed_tokens_est,compression_ratio,total_sec
2026-02-15,38,215,287,6,55,73,3.9,4.92
2026-02-16,33,114,152,5,51,68,2.2,3.17
2026-02-17,39,151,201,6,60,80,2.5,3.57
2026-02-18,31,143,191,5,52,69,2.8,2.83
2026-02-19,28,127,169,6,59,79,2.2,3.14
2026-02-20,27,124,165,8,88,117,1.4,4.11
2026-02-21,34,156,208,7,76,101,2.1,4.06
2026-02-22,21,77,103,5,43,57,1.8,2.20
2026-02-23,25,108,144,5,59,79,1.8,2.68
2026-03-07,17,98,131,5,50,67,2.0,2.98
2026-03-09,139,574,765,8,80,107,7.2,6.09
2026-03-13,93,561,748,7,68,91,8.2,5.86
2026-03-14,11,33,44,2,15,20,2.2,1.08
2026-03-15,17,61,81,6,52,69,1.2,2.71
2026-03-16,35,185,247,7,80,107,2.3,4.09
2026-03-17,27,173,231,5,72,96,2.4,3.55
2026-03-19,25,108,144,5,64,85,1.7,3.36
2026-03-21,32,89,119,3,35,47,2.5,2.11
2026-03-29,128,710,947,7,94,125,7.6,7.75
2026-04-12,104,613,817,7,132,176,4.6,9.24
2026-04-14,76,629,839,8,109,145,5.8,7.98
2026-04-18-request-timed-out-before-a-res,53,973,1297,7,109,145,8.9,10.70
