ctx_size,run,prompt_tokens,prompt_tps,gen_tokens,gen_tps,total_sec
4096,1,25,190.5,764,41.9,18.63
4096,2,25,469.6,794,41.6,19.43
4096,3,25,143.1,677,41.8,38.16
8192,1,25,133.8,576,41.7,15.49
8192,2,25,500.9,904,40.9,22.53
8192,3,25,523.7,637,41.6,15.64
16384,1,25,129.8,527,41.9,14.28
16384,2,25,409.7,753,40.8,18.83
16384,3,25,607.2,690,41.5,16.98
32768,1,25,133.0,675,41.4,18.08
32768,2,25,662.9,672,41.3,16.61
32768,3,25,545.4,648,42.2,15.68
65536,1,25,135.8,613,41.8,16.52
65536,2,25,562.0,518,41.7,12.73
65536,3,25,566.8,733,41.4,18.06
130000,1,25,129.0,584,41.7,16.08
130000,2,25,528.7,736,41.3,18.19
130000,3,25,506.6,739,41.2,18.28
