test_id,prompt_short,memory_type,run,prompt_tokens,gen_tokens,gen_tps,total_sec,notes_loaded
1,What decisions did I make about Ollama config,none,1,19,446,42.6,10.95,0
1,What decisions did I make about Ollama config,none,2,19,517,41.4,12.80,0
1,What decisions did I make about Ollama config,none,3,19,494,42.2,11.99,0
1,What decisions did I make about Ollama config,all_compressed,1,2953,236,34.3,14.84,22
1,What decisions did I make about Ollama config,all_compressed,2,2953,301,34.7,9.00,22
1,What decisions did I make about Ollama config,all_compressed,3,2953,384,33.5,11.75,22
1,What decisions did I make about Ollama config,top_3,1,405,106,43.6,3.23,3
1,What decisions did I make about Ollama config,top_3,2,405,64,41.7,1.76,3
1,What decisions did I make about Ollama config,top_3,3,405,59,41.1,1.64,3
2,What are my current blockers?,none,1,15,280,42.8,6.87,0
2,What are my current blockers?,none,2,15,291,42.6,7.08,0
2,What are my current blockers?,none,3,15,226,43.0,5.49,0
2,What are my current blockers?,all_compressed,1,2949,144,34.5,12.13,22
2,What are my current blockers?,all_compressed,2,2949,211,34.4,6.40,22
2,What are my current blockers?,all_compressed,3,2949,237,33.5,7.39,22
2,What are my current blockers?,top_3,1,251,41,44.2,1.52,3
2,What are my current blockers?,top_3,2,251,47,42.7,1.31,3
2,What are my current blockers?,top_3,3,251,86,41.9,2.26,3
3,What did I learn about thinking mode and perf,none,1,19,688,41.5,17.03,0
3,What did I learn about thinking mode and perf,none,2,19,616,41.6,15.14,0
3,What did I learn about thinking mode and perf,none,3,19,652,41.5,16.05,0
3,What did I learn about thinking mode and perf,all_compressed,1,2953,395,34.2,19.80,22
3,What did I learn about thinking mode and perf,all_compressed,2,2953,383,34.1,11.55,22
3,What did I learn about thinking mode and perf,all_compressed,3,2953,332,33.6,10.21,22
3,What did I learn about thinking mode and perf,top_3,1,631,406,39.2,11.72,3
3,What did I learn about thinking mode and perf,top_3,2,631,387,37.9,10.49,3
3,What did I learn about thinking mode and perf,top_3,3,631,411,38.1,11.10,3
4,How did I fix the OpenClaw gateway crashes?,none,1,20,765,41.4,18.95,0
4,How did I fix the OpenClaw gateway crashes?,none,2,20,619,41.6,15.20,0
4,How did I fix the OpenClaw gateway crashes?,none,3,20,757,41.2,18.76,0
4,How did I fix the OpenClaw gateway crashes?,all_compressed,1,2954,184,34.5,14.33,22
4,How did I fix the OpenClaw gateway crashes?,all_compressed,2,2954,257,34.5,7.72,22
4,How did I fix the OpenClaw gateway crashes?,all_compressed,3,2954,230,33.3,7.21,22
4,How did I fix the OpenClaw gateway crashes?,top_3,1,598,291,40.0,8.57,3
4,How did I fix the OpenClaw gateway crashes?,top_3,2,598,184,39.7,4.86,3
4,How did I fix the OpenClaw gateway crashes?,top_3,3,598,271,39.5,7.12,3
5,What context window settings work best on App,none,1,19,1220,39.6,31.38,0
5,What context window settings work best on App,none,2,19,1016,40.0,25.81,0
5,What context window settings work best on App,none,3,19,1022,40.1,25.93,0
5,What context window settings work best on App,all_compressed,1,2953,534,33.9,26.45,22
5,What context window settings work best on App,all_compressed,2,2953,631,34.3,18.74,22
5,What context window settings work best on App,all_compressed,3,2953,684,33.4,20.86,22
5,What context window settings work best on App,top_3,1,498,678,39.2,18.40,3
5,What context window settings work best on App,top_3,2,498,656,38.4,17.42,3
5,What context window settings work best on App,top_3,3,498,617,38.5,16.36,3
