model	size_chars	repeat	content_len	eval_count	done_reason	prompt_eval_count
gemma4:26b	200	1	4	120	stop	61
gemma4:26b	200	2	3	70	stop	61
gemma4:26b	200	3	4	96	stop	61
gemma4:26b	1000	1	3	66	stop	201
gemma4:26b	1000	2	4	92	stop	201
gemma4:26b	1000	3	3	104	stop	201
gemma4:26b	2000	1	4	109	stop	375
gemma4:26b	2000	2	3	73	stop	375
gemma4:26b	2000	3	3	69	stop	375
gemma4:26b	5000	1	4	156	stop	902
gemma4:26b	5000	2	4	172	stop	902
gemma4:26b	5000	3	3	103	stop	902
gemma4:31b	200	1	3	67	stop	61
gemma4:31b	200	2	3	116	stop	61
gemma4:31b	200	3	3	69	stop	61
gemma4:31b	1000	1	3	64	stop	201
gemma4:31b	1000	2	3	106	stop	201
gemma4:31b	1000	3	3	72	stop	201
gemma4:31b	2000	1	3	80	stop	375
gemma4:31b	2000	2	3	65	stop	375
gemma4:31b	2000	3	3	52	stop	375
gemma4:31b	5000	1	3	62	stop	902
gemma4:31b	5000	2	3	60	stop	902
gemma4:31b	5000	3	3	69	stop	902
